"#Error distance" "Laptop" "Netbook" "Android" "iPhone"
0 0.04 0.06 0.05 0.01
1 "x" "x" "x" "x"
2 "x" "x" "x" "x"
3 0.16 0.17 0.16 0.15
4 0.23 0.26 0.26 0.25
5 0.23 0.28 0.27 0.25
6 0.45 0.53 0.51 0.43
7 0.47 0.54 0.53 0.44
8 0.59 0.66 0.62 0.53
9 0.68 0.74 0.67 0.61
10 0.76 0.79 0.75 0.64
11 0.84 0.84 0.78 0.7
12 0.85 0.86 0.82 0.72
13 0.87 0.87 0.83 0.75
14 0.92 0.94 0.87 0.79
15 0.93 0.97 0.89 0.8
16 0.93 0.97 0.91 0.82
17 0.97 0.99 0.94 0.88
18 0.98 1 0.96 0.93
19 0.98 1 0.97 0.94
20 0.98 "x" 0.98 0.96
21 "x" "x" "x" 0.96
22 0.98 "x" 0.98 0.97
23 "x" "x" 0.98 "x"
24 "x" "x" "x" 0.97
25 0.98 "x" 0.98 0.97
26 "x" "x" "x" "x"
27 1 "x" "x" 0.98
28 1 "x" "x" "x"
29 "x" "x" "x" "x"
30 "x" "x" 0.98 0.99
31 "x" "x" "x" "x"
32 "x" "x" "x" "x"
33 "x" "x" "x" 0.99
34 "x" "x" "x" 0.99
35 "x" "x" "x" "x"
36 "x" "x" 0.99 0.99
37 "x" "x" "x" "x"
38 "x" "x" "x" 1
39 "x" "x" "x" "x"
40 "x" "x" 0.99 "x"
41 "x" "x" "x" "x"
42 "x" "x" "x" "x"
43 "x" "x" "x" "x"
44 "x" "x" "x" "x"
45 "x" "x" "x" "x"
46 "x" "x" "x" "x"
47 "x" "x" "x" "x"
48 "x" "x" "x" "x"
49 "x" "x" "x" "x"
50 "x" "x" "x" "x"
51 "x" "x" "x" "x"
52 "x" "x" "x" "x"
53 "x" "x" "x" "x"
54 "x" "x" 0.99 "x"
55 "x" "x" "x" "x"
56 "x" "x" "x" "x"
57 "x" "x" 0.99 "x"
58 "x" "x" 0.99 "x"
59 "x" "x" "x" "x"
