"#ErrorDistance" "Laptop" "Netbook" "Android" "iPhone"
0 0.26 0.24 0.23 0.17
1 "x" "x" "x" "x"
2 0.3 0.28 0.3 0.24
3 0.43 0.36 0.42 0.37
4 0.52 0.48 0.57 0.6
5 0.66 0.7 0.74 0.72
6 0.77 0.75 0.79 0.77
7 0.89 0.83 0.87 0.81
8 0.92 0.86 0.94 0.88
9 0.93 0.93 0.94 0.9
10 0.95 0.96 0.95 0.94
11 0.95 "x" 0.97 0.96
12 "x" 0.96 0.97 0.97
13 0.96 "x" 0.98 0.97
14 0.99 0.98 "x" 0.97
15 0.99 "x" 0.98 0.97
16 1 "x" "x" "x"
17 "x" "x" 1 0.98
18 "x" "x" "x" 0.99
19 "x" "x" "x" "x"
20 1 "x" "x" "x"
21 1 "x" "x" "x"
22 "x" "x" 1 0.99
23 "x" "x" "x" "x"
24 "x" "x" "x" "x"
25 "x" "x" "x" "x"
26 "x" "x" "x" 1
27 "x" "x" 1 1
28 1 "x" "x" "x"
29 1 1 "x" 1
30 "x" 1 "x" 1
